,dataset_name,method,k,SSE,Total_time
109,Syn_n_50000_d_2_seed_6,asc,5.0,825413.8215394734,6.022891521453857
110,Syn_n_50000_d_2_seed_6,asc,10.0,824916.2721295971,12.706243991851807
111,Syn_n_50000_d_2_seed_6,asc,20.0,823963.3003427138,35.26548624038696
112,Syn_n_50000_d_2_seed_7,basic,3.0,827037.5748633223,44.437437534332275
113,Syn_n_50000_d_2_seed_7,basic,5.0,826832.4075217913,86.46651721000671
114,Syn_n_50000_d_2_seed_7,basic,10.0,826368.9950667063,197.15110278129578
115,Syn_n_50000_d_2_seed_7,basic,20.0,825512.1282970605,407.66971588134766
116,Syn_n_50000_d_2_seed_7,asc,3.0,827038.4236303772,5.825443983078003
117,Syn_n_50000_d_2_seed_7,asc,5.0,826833.0687989052,10.792616128921509
118,Syn_n_50000_d_2_seed_7,asc,10.0,826370.9643232098,15.701590061187744
119,Syn_n_50000_d_2_seed_7,asc,20.0,825526.4803733887,33.22504496574402
120,Syn_n_50000_d_2_seed_8,basic,3.0,822868.6349023354,42.854609966278076
121,Syn_n_50000_d_2_seed_8,basic,5.0,822636.8635329915,85.46301078796387
122,Syn_n_50000_d_2_seed_8,basic,10.0,822147.3656272754,195.82604956626892
123,Syn_n_50000_d_2_seed_8,basic,20.0,821197.6594192045,410.4758360385895
124,Syn_n_50000_d_2_seed_8,asc,3.0,822868.6349023359,5.220755338668823
125,Syn_n_50000_d_2_seed_8,asc,5.0,822666.8133830251,7.086048364639282
126,Syn_n_50000_d_2_seed_8,asc,10.0,822152.024249847,12.68410062789917
127,Syn_n_50000_d_2_seed_8,asc,20.0,821202.4359859591,32.69468903541565
128,Syn_n_50000_d_2_seed_9,basic,3.0,827271.9335505613,42.46859836578369
129,Syn_n_50000_d_2_seed_9,basic,5.0,827078.7035377012,86.61279559135437
130,Syn_n_50000_d_2_seed_9,basic,10.0,826584.64412527,193.67522644996643
131,Syn_n_50000_d_2_seed_9,basic,20.0,825649.5184304834,410.742960691452
132,Syn_n_50000_d_2_seed_9,asc,3.0,827271.9335505606,0.5694770812988281
133,Syn_n_50000_d_2_seed_9,asc,5.0,827078.7035376998,1.6355998516082764
134,Syn_n_50000_d_2_seed_9,asc,10.0,826584.644125269,6.303168296813965
135,Syn_n_50000_d_2_seed_9,asc,20.0,825651.0603341833,20.66479730606079
136,Syn_n_5000_d_2_seed_0,basic,3.0,82435.78941155894,0.4497973918914795
137,Syn_n_5000_d_2_seed_0,basic,5.0,82274.02875432673,0.9085698127746582
138,Syn_n_5000_d_2_seed_0,basic,10.0,81922.41574324842,1.9597594738006592
139,Syn_n_5000_d_2_seed_0,basic,20.0,81250.19776101937,4.2755632400512695
140,Syn_n_5000_d_2_seed_0,asc,3.0,82435.78941155894,0.05086326599121094
141,Syn_n_5000_d_2_seed_0,asc,5.0,82274.02875432673,0.13164806365966797
142,Syn_n_5000_d_2_seed_0,asc,10.0,81922.41574324836,0.22041034698486328
143,Syn_n_5000_d_2_seed_0,asc,20.0,81255.38068358677,0.5365650653839111
144,Syn_n_5000_d_2_seed_1,basic,3.0,82478.33202095606,0.4527885913848877
145,Syn_n_5000_d_2_seed_1,basic,5.0,82275.96402881536,0.9115617275238037
146,Syn_n_5000_d_2_seed_1,basic,10.0,81865.14655141422,1.9477906227111816
147,Syn_n_5000_d_2_seed_1,basic,20.0,81115.55721499931,4.3065125942230225
