dataset_name,k,theta,max,SSE_b,SSE_a,Total_time_b,Total_time_a,speed_up,Gap,,theta,speed_up
Syn_n_50000_d_2_seed_0,20,20,5,822470.7707,822481.4813,401.6056225,27.03771067,14.85353651,0.001302247,,,
Syn_n_50000_d_2_seed_1,20,20,5,822968.0658,823000.5489,400.278487,72.16411948,5.546779893,0.003947059,,,
Syn_n_50000_d_2_seed_2,20,20,5,827592.0665,827628.7495,400.3980696,91.72368217,4.365263803,0.004432494,,,
Syn_n_50000_d_2_seed_3,20,20,5,822430.1289,822450.5665,433.9994628,69.58841395,6.23666266,0.002485023,,,
Syn_n_50000_d_2_seed_4,20,20,5,828915.102,828933.5853,443.6460497,59.25699401,7.486813281,0.002229821,,,
Syn_n_50000_d_2_seed_5,20,20,5,823692.9236,823749.4357,436.4089675,58.99026966,7.397982244,0.006860828,,,
Syn_n_50000_d_2_seed_6,20,20,5,823930.0055,823961.149,431.7101343,70.47756481,6.125497318,0.003779864,,,
Syn_n_50000_d_2_seed_7,20,20,5,825512.1283,825557.042,421.5462654,78.6990242,5.356435733,0.005440704,,,
Syn_n_50000_d_2_seed_8,20,20,5,821197.6594,821254.0251,420.6658103,40.02894163,10.50904154,0.006863841,,,
Syn_n_50000_d_2_seed_9,20,20,5,825649.5184,825660.8764,418.5780623,111.856873,3.742086212,0.001375645,,,
average,,,,824435.8369,824467.746,420.8836931,67.98235936,7.162009919,0.003871753,,,
,,,,,,,,,,,,
Syn_n_50000_d_2_seed_0,20,50,5,822470.7707,822492.7958,401.2249818,21.80869722,18.39747591,0.002677915,,,
Syn_n_50000_d_2_seed_1,20,50,5,822968.0658,823010.453,399.7321448,81.33554292,4.91460597,0.005150523,,,
Syn_n_50000_d_2_seed_2,20,50,5,827592.0665,827618.8513,406.7781219,76.85843873,5.292562907,0.003236477,,,
Syn_n_50000_d_2_seed_3,20,50,5,822430.1289,822480.6473,433.8635776,57.16410995,7.589789783,0.00614258,,,
Syn_n_50000_d_2_seed_4,20,50,5,828915.102,828972.4121,439.2587841,39.05853701,11.24616583,0.006913874,,,
Syn_n_50000_d_2_seed_5,20,50,5,823692.9236,823730.7594,438.4966812,46.56645679,9.416578185,0.004593434,,,
Syn_n_50000_d_2_seed_6,20,50,5,823930.0055,823989.5198,427.8619599,54.93461418,7.788567669,0.007223215,,,
Syn_n_50000_d_2_seed_7,20,50,5,825512.1283,825587.1809,426.4950984,79.71783209,5.350058916,0.009091646,,,
Syn_n_50000_d_2_seed_8,20,50,5,821197.6594,821273.8715,419.4777601,42.24603081,9.929400515,0.009280603,,,
Syn_n_50000_d_2_seed_9,20,50,5,825649.5184,825655.7618,420.4745681,101.7054911,4.134236645,0.00075618,,,
average,,,,824435.8369,824481.2253,421.3663678,60.13957508,8.405944233,0.005506645,,,
