,dataset_name,k,theta,max,SSE_b,SSE_a,Total_time_b,Total_time_a,speed_up,Gap
22,Syn_n_50000_d_2_seed_0,20,2.0,20,822470.7707060463,822470.7707060416,398.8448905944824,38.31250596046448,10.41030547586888,-5.661736609897936e-13
23,Syn_n_50000_d_2_seed_0,20,2.0,50,822470.7707060463,822470.7707060416,400.4860517978668,36.512319564819336,10.968518477356518,-5.661736609897936e-13
24,Syn_n_50000_d_2_seed_0,20,5.0,5,822470.7707060463,822473.5622021529,399.63301968574524,33.01914358139038,12.103070411280406,0.000339403685344334
25,Syn_n_50000_d_2_seed_0,20,5.0,10,822470.7707060463,822473.5622021527,399.60018277168274,32.50759434700012,12.292517819257172,0.00033940368531602534
26,Syn_n_50000_d_2_seed_0,20,5.0,20,822470.7707060463,822470.770706042,399.1530830860138,32.40134072303772,12.319029835768847,-5.23710636415559e-13
27,Syn_n_50000_d_2_seed_0,20,5.0,50,822470.7707060463,822478.4887818324,400.11116123199463,33.44856548309326,11.96198268754553,0.0009384012248252435
28,Syn_n_50000_d_2_seed_0,20,10.0,5,822470.7707060463,822480.3915400166,400.1155743598938,29.33551526069641,13.639289128013607,0.001169747827283216
29,Syn_n_50000_d_2_seed_0,20,10.0,10,822470.7707060463,822480.3915400166,399.74953722953796,28.859389543533325,13.851628310658842,0.001169747827283216
30,Syn_n_50000_d_2_seed_0,20,10.0,20,822470.7707060463,822480.3915400174,400.04890418052673,29.85748267173767,13.398614631340063,0.0011697478273822962
31,Syn_n_50000_d_2_seed_0,20,10.0,50,822470.7707060463,822480.3915400173,399.9609076976776,29.555925130844116,13.532342700390876,0.001169747827368142
32,Syn_n_50000_d_2_seed_0,20,20.0,5,822470.7707060463,822481.4813092465,406.49783873558044,26.77043342590332,15.184581895571753,0.0013022472751285708
33,Syn_n_50000_d_2_seed_0,20,20.0,10,822470.7707060463,822490.2486048297,403.0432405471802,26.377449989318848,15.27984095166085,0.002368217750361999
34,Syn_n_50000_d_2_seed_0,20,20.0,20,822470.7707060463,822488.446307223,401.882306098938,28.189631938934326,14.256387134444106,0.002149085633964548
35,Syn_n_50000_d_2_seed_0,20,20.0,50,822470.7707060463,822485.7935402665,402.1938052177429,27.58227276802063,14.581604953310935,0.0018265493140025338
36,Syn_n_50000_d_2_seed_0,20,50.0,5,822470.7707060463,822492.7957726008,409.81504106521606,31.131765604019165,13.163886888969389,0.002677914807311516
37,Syn_n_50000_d_2_seed_0,20,50.0,10,822470.7707060463,822501.0550839723,460.13181829452515,32.0632438659668,14.350756904635197,0.003682122089278842
38,Syn_n_50000_d_2_seed_0,20,50.0,20,822470.7707060463,822492.0665868111,458.83677434921265,33.408645153045654,13.734073089383674,0.0025892568494024276
39,Syn_n_50000_d_2_seed_0,20,50.0,50,822470.7707060463,822489.0716459606,456.5045213699341,38.048744440078735,11.997886608028884,0.002225117361750668
