,dataset_name,method,theta,max,SSE,Total_time
79,Syn_n_50000_d_2_seed_2,asc,1.2,50.0,827609.1717092777,8.449750185012817
80,Syn_n_50000_d_2_seed_2,asc,1.5,5.0,827666.577952376,1.66554594039917
81,Syn_n_50000_d_2_seed_2,asc,1.5,10.0,827668.7010253597,2.6334574222564697
82,Syn_n_50000_d_2_seed_2,asc,1.5,20.0,827611.6930722859,3.72214937210083
83,Syn_n_50000_d_2_seed_2,asc,1.5,50.0,827609.5000294892,4.899044752120972
84,Syn_n_50000_d_2_seed_2,asc,2.0,5.0,827666.2496321638,1.36238431930542
85,Syn_n_50000_d_2_seed_2,asc,2.0,10.0,827665.7323951765,2.2818684577941895
86,Syn_n_50000_d_2_seed_2,asc,2.0,20.0,827609.1717092791,2.979031801223755
87,Syn_n_50000_d_2_seed_2,asc,2.0,50.0,827609.1717092791,3.8925886154174805
88,Syn_n_50000_d_2_seed_2,asc,5.0,5.0,827666.2496321657,0.9006202220916748
89,Syn_n_50000_d_2_seed_2,asc,5.0,10.0,827636.190164864,1.5040793418884277
90,Syn_n_50000_d_2_seed_2,asc,5.0,20.0,827608.1016585808,1.7795259952545166
91,Syn_n_50000_d_2_seed_2,asc,5.0,50.0,827606.8567051447,2.286912441253662
92,Syn_n_50000_d_2_seed_2,asc,10.0,5.0,827646.3528281868,0.9544732570648193
93,Syn_n_50000_d_2_seed_2,asc,10.0,10.0,827640.4701545346,1.5683140754699707
94,Syn_n_50000_d_2_seed_2,asc,10.0,20.0,827610.3371796925,1.9976603984832764
95,Syn_n_50000_d_2_seed_2,asc,10.0,50.0,827614.1608841975,2.407560110092163
96,Syn_n_50000_d_2_seed_3,asc,1.01,5.0,822436.4410876664,95.41403031349182
97,Syn_n_50000_d_2_seed_3,asc,1.01,10.0,822440.4863092026,95.64728355407715
98,Syn_n_50000_d_2_seed_3,asc,1.01,20.0,822435.0897294102,98.35580658912659
99,Syn_n_50000_d_2_seed_3,asc,1.01,50.0,822431.6283125542,97.88640761375427
100,Syn_n_50000_d_2_seed_3,asc,1.05,5.0,822436.0467679146,21.434407472610474
101,Syn_n_50000_d_2_seed_3,asc,1.05,10.0,822438.0568324713,23.369505882263184
