,dataset_name,method,k,theta,max,SSE,Total_time,allSSEs
10,Syn_n_50000_d_2_seed_2,asc,20,1.1,20,827592.0664996844,219.85320806503296,"(829562.6947738976, 829454.3546117231, 829288.6495423694, 829202.280344689, 829068.6274391734, 828956.7444448492, 828862.4532857458, 828761.2131954858, 828662.1439921606, 828550.2609978367, 828455.9698387334, 828354.871119998, 828260.5799608954, 828167.6277928089, 828074.7752196053, 827981.3888878152, 827872.6168362324, 827779.3098268742, 827685.0186677708, 827592.0664996844)"
11,Syn_n_50000_d_2_seed_2,asc,20,1.1,50,827592.0664996844,220.42980289459229,"(829562.6947738976, 829454.3546117231, 829288.6495423694, 829202.280344689, 829068.6274391734, 828956.7444448492, 828862.4532857458, 828761.2131954858, 828662.1439921606, 828550.2609978367, 828455.9698387334, 828354.871119998, 828260.5799608954, 828167.6277928089, 828074.7752196053, 827981.3888878152, 827872.6168362324, 827779.3098268742, 827685.0186677708, 827592.0664996844)"
12,Syn_n_50000_d_2_seed_2,asc,20,1.2,5,827592.0664996844,208.8440399169922,"(829562.6947738976, 829454.3546117231, 829288.6495423694, 829202.280344689, 829068.6274391734, 828956.7444448492, 828862.4532857458, 828761.2131954858, 828662.1439921606, 828550.2609978367, 828455.9698387334, 828354.871119998, 828260.5799608954, 828167.6277928089, 828074.7752196053, 827981.3888878152, 827872.6168362324, 827779.3098268742, 827685.0186677708, 827592.0664996844)"
13,Syn_n_50000_d_2_seed_2,asc,20,1.2,10,827592.0664996844,208.9705183506012,"(829562.6947738976, 829454.3546117231, 829288.6495423694, 829202.280344689, 829068.6274391734, 828956.7444448492, 828862.4532857458, 828761.2131954858, 828662.1439921606, 828550.2609978367, 828455.9698387334, 828354.871119998, 828260.5799608954, 828167.6277928089, 828074.7752196053, 827981.3888878152, 827872.6168362324, 827779.3098268742, 827685.0186677708, 827592.0664996844)"
14,Syn_n_50000_d_2_seed_2,asc,20,1.2,20,827592.0664996844,210.93296670913696,"(829562.6947738976, 829454.3546117231, 829288.6495423694, 829202.280344689, 829068.6274391734, 828956.7444448492, 828862.4532857458, 828761.2131954858, 828662.1439921606, 828550.2609978367, 828455.9698387334, 828354.871119998, 828260.5799608954, 828167.6277928089, 828074.7752196053, 827981.3888878152, 827872.6168362324, 827779.3098268742, 827685.0186677708, 827592.0664996844)"
15,Syn_n_50000_d_2_seed_2,asc,20,1.2,50,827592.0664996844,214.7124810218811,"(829562.6947738976, 829454.3546117231, 829288.6495423694, 829202.280344689, 829068.6274391734, 828956.7444448492, 828862.4532857458, 828761.2131954858, 828662.1439921606, 828550.2609978367, 828455.9698387334, 828354.871119998, 828260.5799608954, 828167.6277928089, 828074.7752196053, 827981.3888878152, 827872.6168362324, 827779.3098268742, 827685.0186677708, 827592.0664996844)"
16,Syn_n_50000_d_2_seed_2,asc,20,1.5,5,827592.0664996844,210.3240716457367,"(829562.6947738976, 829454.3546117231, 829288.6495423694, 829202.280344689, 829068.6274391734, 828956.7444448492, 828862.4532857458, 828761.2131954858, 828662.1439921606, 828550.2609978367, 828455.9698387334, 828354.871119998, 828260.5799608954, 828167.6277928089, 828074.7752196053, 827981.3888878152, 827872.6168362324, 827779.3098268742, 827685.0186677708, 827592.0664996844)"
17,Syn_n_50000_d_2_seed_2,asc,20,1.5,10,827592.0664996844,209.4722228050232,"(829562.6947738976, 829454.3546117231, 829288.6495423694, 829202.280344689, 829068.6274391734, 828956.7444448492, 828862.4532857458, 828761.2131954858, 828662.1439921606, 828550.2609978367, 828455.9698387334, 828354.871119998, 828260.5799608954, 828167.6277928089, 828074.7752196053, 827981.3888878152, 827872.6168362324, 827779.3098268742, 827685.0186677708, 827592.0664996844)"
18,Syn_n_50000_d_2_seed_2,asc,20,1.5,20,827592.0664996844,206.42072868347168,"(829562.6947738976, 829454.3546117231, 829288.6495423694, 829202.280344689, 829068.6274391734, 828956.7444448492, 828862.4532857458, 828761.2131954858, 828662.1439921606, 828550.2609978367, 828455.9698387334, 828354.871119998, 828260.5799608954, 828167.6277928089, 828074.7752196053, 827981.3888878152, 827872.6168362324, 827779.3098268742, 827685.0186677708, 827592.0664996844)"
19,Syn_n_50000_d_2_seed_2,asc,20,1.5,50,827592.0664996844,200.71904253959656,"(829562.6947738976, 829454.3546117231, 829288.6495423694, 829202.280344689, 829068.6274391734, 828956.7444448492, 828862.4532857458, 828761.2131954858, 828662.1439921606, 828550.2609978367, 828455.9698387334, 828354.871119998, 828260.5799608954, 828167.6277928089, 828074.7752196053, 827981.3888878152, 827872.6168362324, 827779.3098268742, 827685.0186677708, 827592.0664996844)"
