,dataset_name,method,k,theta,max,SSE,Total_time,allSSEs
0,sel102,asc,20,1,10,606.7578382389573,132.93802547454834,"(645.146312452417, 642.2135437861037, 639.426248808313, 636.6857334671387, 633.9979752070576, 631.6280836839003, 629.634774757029, 627.7859199531856, 625.7926110263144, 624.0661777464177, 622.0914959857143, 620.224014015703, 618.2493322549996, 616.6318873558845, 614.7009833295292, 612.990672998519, 611.5659074005036, 609.8555970694933, 608.4482698938168, 606.7578382389573)"
1,sel102,asc,20,2,10,606.7578382389573,91.47219204902649,"(645.146312452417, 642.2135437861037, 639.426248808313, 636.6857334671387, 633.9979752070576, 631.6280836839003, 629.7032602803874, 627.7859199531856, 625.8610965496727, 624.1346632697761, 622.1599815090726, 620.2924995390614, 618.3178177783578, 616.6318873558845, 614.7009833295292, 612.990672998519, 611.5659074005036, 609.8555970694933, 608.4482698938168, 606.7578382389573)"
2,sel102,asc,20,4,10,606.7578382389573,75.12200427055359,"(645.146312452417, 642.2135437861037, 639.426248808313, 636.6857334671387, 633.9979752070576, 631.6280836839003, 629.7032602803874, 627.7859199531856, 625.8610965496727, 624.1346632697761, 622.1599815090726, 620.2924995390614, 618.3178177783578, 616.6318873558845, 614.7009833295292, 612.990672998519, 611.5659074005036, 609.8555970694933, 608.4482698938168, 606.7578382389573)"
3,sel102,asc,20,8,10,606.7578382389573,65.87646460533142,"(645.146312452417, 642.2135437861037, 639.426248808313, 636.6857334671387, 633.9979752070576, 631.6280836839003, 629.7441681436211, 627.7859199531856, 625.9428339818055, 624.1751661271993, 622.2008893723064, 620.3742369711943, 618.3995552104908, 616.6318873558845, 614.7009833295292, 612.990672998519, 611.5659074005036, 609.8555970694933, 608.4482698938168, 606.7578382389573)"
4,sel102,asc,20,16,10,606.7578382389573,60.32831692695618,"(645.146312452417, 642.2135437861037, 639.426248808313, 636.6857334671387, 633.9979752070576, 631.6280836839003, 629.7441681436211, 627.7859199531856, 625.9428339818055, 624.1751661271993, 622.2008893723064, 620.3742369711943, 618.3995552104908, 616.6318873558845, 614.7009833295292, 612.990672998519, 611.5659074005036, 609.8555970694933, 608.4482698938168, 606.7578382389573)"
5,sel102,asc,20,32,10,606.7578382389573,56.419302463531494,"(645.146312452417, 642.2135437861037, 639.426248808313, 636.6857334671387, 633.9979752070576, 631.6280836839003, 629.7441681436211, 627.7859199531856, 625.9428339818055, 624.1751661271993, 622.0914959857143, 620.3742369711943, 618.2493322549996, 616.6318873558846, 614.7009833295293, 612.990672998519, 611.5659074005038, 609.8555970694933, 608.4482698938168, 606.7578382389573)"
6,sel102,asc,20,64,10,606.7578382389573,53.196104526519775,"(645.146312452417, 642.2135437861037, 639.426248808313, 636.6857334671387, 633.9979752070576, 631.6280836839003, 629.634774757029, 627.7859199531856, 625.7926110263144, 624.1751661271993, 622.0914959857145, 620.3742369711943, 618.2493322549998, 616.6318873558846, 614.7009833295293, 612.990672998519, 611.5659074005038, 609.8555970694933, 608.4496890494867, 606.7578382389573)"
0,x_108,asc,20,1,10,197.60602375562144,126.45207071304321,"(265.9555094467752, 261.1709056908421, 246.51002412603555, 238.74513500546004, 235.2778587729714, 229.9071609741679, 225.30279894395196, 221.83552271146368, 219.14657600120339, 215.6792997687151, 213.31323589618304, 211.10855833253754, 208.74249446000545, 207.34144110385697, 205.5653067746901, 203.19309526825063, 201.79204191210263, 200.33717313176336, 198.9361197756157, 197.60602375562144)"
1,x_108,asc,20,2,10,197.60602375562144,86.68465065956116,"(265.9555094467752, 261.1709056908421, 246.51002412603555, 238.74513500546004, 235.28400640687875, 229.9071609741679, 225.30279894395196, 221.84167034537103, 219.14657600120339, 215.68544740262246, 213.31323589618304, 211.1147059664449, 208.74249446000545, 207.34144110385697, 205.5653067746901, 203.19309526825063, 201.79204191210263, 200.33717313176336, 198.9361197756157, 197.60602375562144)"
2,x_108,asc,20,4,10,197.6096094248313,72.59797263145447,"(265.9555094467752, 261.1709056908421, 246.51002412603555, 238.74513500546004, 235.28400640687875, 229.9071609741679, 225.30279894395196, 221.84167034537103, 219.14657600120339, 215.68544740262246, 213.31323589618304, 211.1147059664449, 208.74249446000545, 207.34502677306668, 205.5653067746902, 203.19309526825077, 201.7956275813125, 200.34075880097308, 198.93970544482542, 197.6096094248313)"
